Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,0.0,0.0,0.28,0.24,0.13,0.14,94.05,94.46
Prop,43.75,46.62,32.68,47.55,42.7,42.51,94.05,94.46
Binary,66.76,69.55,52.54,77.88,66.76,66.88,94.05,94.46
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,71.53,71.48,63.39,63.48,67.49,66.88,94.52,94.23
Prop,76.73,77.38,72.09,76.01,75.57,75.36,94.52,94.23
Binary,78.83,78.12,74.51,83.29,78.71,78.85,94.52,94.23
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.56,30.89,75.25
Prop,36.11,38.78,45.1,75.25
Binary,38.94,41.6,48.38,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.56,30.89,75.25
Prop,36.11,38.78,45.1,75.25
Binary,38.94,41.6,48.38,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.56,30.89,75.25
Prop,36.11,38.78,45.1,75.25
Binary,38.94,41.6,48.38,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.56,30.89,75.25
Prop,36.11,38.78,45.1,75.25
Binary,38.94,41.6,48.38,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.56,30.89,75.25
Prop,36.11,38.78,45.1,75.25
Binary,38.94,41.6,48.38,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.56,30.89,75.25
Prop,36.11,38.78,45.1,75.25
Binary,38.94,41.6,48.38,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.56,30.89,75.25
Prop,36.11,38.78,45.1,75.25
Binary,38.94,41.6,48.38,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.56,30.89,75.25
Prop,36.11,38.78,45.1,75.25
Binary,38.94,41.6,48.38,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.56,30.89,75.25
Prop,36.11,38.78,45.1,75.25
Binary,38.94,41.6,48.38,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,23.77,27.65,75.25
Prop,36.11,34.32,39.92,75.25
Binary,38.94,36.58,42.55,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.56,30.89,75.25
Prop,36.11,38.78,45.1,75.25
Binary,38.94,41.6,48.38,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,23.77,27.65,75.25
Prop,36.11,34.32,39.92,75.25
Binary,38.94,36.58,42.55,75.25
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.82,28.29,62.99
Prop,36.11,38.62,40.75,62.99
Binary,38.94,41.56,43.84,62.99
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,23.34,24.62,62.99
Prop,36.11,33.23,35.06,62.99
Binary,38.94,35.62,37.58,62.99
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.82,28.29,62.99
Prop,36.11,38.62,40.75,62.99
Binary,38.94,41.56,43.84,62.99
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,23.34,24.62,62.99
Prop,36.11,33.23,35.06,62.99
Binary,38.94,35.62,37.58,62.99
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.82,28.29,62.99
Prop,36.11,38.62,40.75,62.99
Binary,38.94,41.56,43.84,62.99
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,23.34,24.62,62.99
Prop,36.11,33.23,35.06,62.99
Binary,38.94,35.62,37.58,62.99
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,26.82,28.29,62.99
Prop,36.11,38.62,40.75,62.99
Binary,38.94,41.56,43.84,62.99
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,24.08,23.34,24.62,62.99
Prop,36.11,33.23,35.06,62.99
Binary,38.94,35.62,37.58,62.99
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
